image,presence,closure,circularity
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1747005081136.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1746719461302.jpg,no_circle,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1745507036243.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1747019288635.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1745520852131.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1749032934486.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1745852498736.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1746493600099.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1747126435040.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1747062702953.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1752946504038.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1754087705750.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1754174465231.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1752880223867.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1752880725624.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1756822148879.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1754320523569.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1754319820271.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1754319114874.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1751578414094.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1751577047109.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1754321266704.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1754316083373.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1754314779789.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1754312337009.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1754318162963.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1752855021927.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1752932683215.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1752940246818.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1752846095293.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1753971992477.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1754139082048.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1753984344988.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1679498950931.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1679493254864.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1680614728032.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1680013311804.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1680617036071.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1681477483764.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1681480209859.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1680963723013.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1680963025443.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1681049437199.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1680365215044.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1680698007815.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1680444036188.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1680884243694.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1681737730620.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1681305903081.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1681569604076.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1681483200387.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1681568679235.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1682004872229.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1681999284430.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1681999339743.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1682451308545.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1682603686749.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1682608926953.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1682776082103.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1682776726922.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1683121127392.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1683119268202.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1683500635044.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1683386891039.jpg,no_circle,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1683387511471.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1683551944933.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1683730523943.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1683725751375.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1683813060202.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1683815771190.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1683812841797.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1683984288937.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1683987861268.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1684158892729.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1684327803601.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1684332563326.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1684328303628.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1731789014833.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1684414779984.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1684503638248.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1684501350021.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1684589156178.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1684589385076.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1684589512855.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1684762703735.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1684933071799.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1684937745138.jpg,circle,not_closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1684942310918.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1685027059891.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1685112525322.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1685116051771.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1685111883925.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1685192471720.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1685282638252.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1685195977622.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1685195216933.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1685459057994.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1685453294503.jpg,circle,closed,not_circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1685539497398.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1685541910101.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Cuba/All_Image_Files/1685634607034.jpg,circle,closed,circular
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1748656159350.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1744665487808.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1743897867243.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1746800604327.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1745693463509.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1745787289774.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1749076719772.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1748735423091.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1748640743780.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1745697450677.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1746808531923.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1745695418011.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1747016704835.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1746732877390.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1746197506033.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1746113800072.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1746661380488.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1747013239128.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1747005108725.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1746719405734.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1749054873100.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1747019301186.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1749052715401.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1745852519759.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1746493627971.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1747126466986.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1748656182096.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1744665521244.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1743897878501.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1746800581663.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1745693480983.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1745787304944.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1749076741424.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1748735449484.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1748640875523.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1745697466933.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1746808545435.jpg,,,
/Users/chrissoria/Google Drive/other computers/My Laptop (1)/documents/cadas/data/CADAS data upload/Rep Dom/All_Image_Files/1745695430369.jpg,,,
